"Time";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"13.12.2016 05:00";"-11.7";"748.9";"764.2";"1.6";"80";"Ветер, дующий с северо-северо-запада";"6";"";"";"90  или более, но не 100%";"Ливневый снег или ливневый дождь и снег. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-14.5";"";"";"";"";"";"";
"13.12.2016 02:00";"-9.8";"747.3";"762.4";"2.0";"82";"Ветер, дующий с севера";"5";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-12.4";"Следы осадков";"6";"";"";"";"";
"12.12.2016 23:00";"-9.6";"745.3";"760.4";"3.2";"82";"Ветер, дующий с севера";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-12.2";"";"";"";"";"";"";
"12.12.2016 20:00";"-7.2";"742.1";"757.0";"3.9";"80";"Ветер, дующий с севера";"6";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"0.8";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-10.1";"1.0";"12";"";"";"";"";
"12.12.2016 17:00";"-5.4";"738.2";"752.9";"4.3";"83";"Ветер, дующий с севера";"7";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-7.9";"";"";"";"";"";"";
"12.12.2016 14:00";"-4.4";"733.9";"748.4";"3.3";"91";"Ветер, дующий с севера";"5";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"90  или более, но не 100%";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.9";"-5.6";"1.0";"6";"";"";"";"";
"12.12.2016 11:00";"-1.8";"730.6";"744.9";"0.2";"96";"Ветер, дующий с севера";"5";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"100-200";"";"";"4.8";"-2.3";"";"";"";"";"";"";
"12.12.2016 08:00";"-0.3";"730.4";"744.7";"-2.7";"94";"Ветер, дующий с юго-востока";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения.  Диаметр отложения при гололеде составляет 2 мм.";"Снег и/или другие виды твердых осадков";"Снег и/или другие виды твердых осадков";"-4.3";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"90  или более, но не 100%";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.5";"-1.2";"7.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"10.0";
"12.12.2016 05:00";"-3.2";"733.1";"747.6";"-5.2";"93";"Ветер, дующий с востоко-юго-востока";"7";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Снег и/или другие виды твердых осадков";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"70 – 80%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"1.4";"-4.2";"";"";"";"";"";"";
"12.12.2016 02:00";"-3.5";"738.3";"752.8";"-3.8";"90";"Ветер, дующий с востоко-юго-востока";"7";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"60%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"1.2";"-4.9";"0.3";"6";"";"";"";"";
"11.12.2016 23:00";"-3.6";"742.1";"756.7";"-1.1";"88";"Ветер, дующий с юго-востока";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-5.4";"";"";"";"";"";"";
"11.12.2016 20:00";"-4.3";"743.2";"757.9";"-0.9";"89";"Ветер, дующий с юго-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"-0.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-5.9";"";"";"";"";"";"";
"11.12.2016 17:00";"-3.4";"744.1";"758.8";"0.2";"79";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-6.6";"";"";"";"";"";"";
"11.12.2016 14:00";"-1.0";"743.9";"758.5";"0.3";"62";"Ветер, дующий с запада";"2";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-7.5";"";"";"";"";"";"";
"11.12.2016 11:00";"-1.9";"743.6";"758.2";"1.6";"59";"Ветер, дующий с северо-северо-запада";"3";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-8.9";"";"";"";"";"";"";
"11.12.2016 08:00";"-2.4";"742.0";"756.6";"3.0";"74";"Ветер, дующий с севера";"5";"";"";"40%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Дождь.";"-2.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-6.4";"3.0";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.";"3.0";
"11.12.2016 05:00";"0.2";"739.0";"753.4";"1.7";"96";"Ветер, дующий с северо-северо-запада";"4";"";"";"100%.";"Ливневый(ые) дождь(и) со снегом слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Дождь.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"200-300";"";"";"10.0";"-0.4";"";"";"";"";"";"";
"11.12.2016 02:00";"2.7";"737.3";"751.5";"-0.7";"98";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"70 – 80%.";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.2";"2.4";"0.9";"6";"";"";"";"";
"10.12.2016 23:00";"3.0";"738.0";"752.2";"-0.4";"95";"Ветер, дующий с запада";"4";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"70 – 80%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"2.2";"";"";"";"";"";"";
"10.12.2016 20:00";"3.4";"738.4";"752.6";"-0.9";"95";"Ветер, дующий с запада";"5";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"Ливень (ливни).";"Дождь.";"";"4.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"10.0";"2.7";"0.5";"12";"";"";"";"";
"10.12.2016 17:00";"3.5";"739.3";"753.4";"0.0";"93";"Ветер, дующий с запада";"5";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Дождь.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"200-300";"";"";"10.0";"2.5";"";"";"";"";"";"";
"10.12.2016 14:00";"3.8";"739.3";"753.5";"-0.5";"90";"Ветер, дующий с западо-юго-запада";"6";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"Дождь.";"Морось.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"200-300";"";"";"10.0";"2.3";"Следы осадков";"6";"";"";"";"";
"10.12.2016 11:00";"3.6";"739.8";"754.0";"0.5";"95";"Ветер, дующий с запада";"5";"";"";"100%.";"Дымка. ";"Дождь.";"Морось.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"100-200";"";"";"3.5";"2.9";"";"";"";"";"";"";
"10.12.2016 08:00";"3.0";"739.3";"753.6";"0.8";"97";"Ветер, дующий с запада";"4";"";"";"100%.";"Дымка. ";"Ливень (ливни).";"Дождь.";"2.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"100-200";"";"";"2.7";"2.5";"0.8";"12";"";"";"";"";
"10.12.2016 05:00";"3.0";"738.5";"752.8";"-0.1";"97";"Ветер, дующий с запада";"5";"";"";"100%.";"Дымка. ";"Ливень (ливни).";"Дождь.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"100-200";"";"";"3.1";"2.5";"";"";"";"";"";"";
"10.12.2016 02:00";"3.2";"738.6";"752.8";"-0.2";"99";"Ветер, дующий с запада";"4";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"70 – 80%.";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"3.3";"3.0";"0.5";"6";"";"";"";"";
"09.12.2016 23:00";"3.2";"738.8";"753.1";"-0.5";"99";"Ветер, дующий с западо-юго-запада";"4";"";"";"100%.";"Дымка. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"100-200";"";"";"5.0";"3.0";"";"";"";"";"";"";
"09.12.2016 20:00";"3.2";"739.3";"753.6";"-0.6";"99";"Ветер, дующий с запада";"5";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Морось.";"";"3.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"100-200";"";"";"1.4";"3.0";"0.6";"12";"";"";"";"";
"09.12.2016 17:00";"3.1";"739.9";"754.1";"0.3";"99";"Ветер, дующий с запада";"5";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"2.3";"2.9";"";"";"";"";"";"";
"09.12.2016 14:00";"3.2";"739.6";"753.9";"0.4";"99";"Ветер, дующий с запада";"4";"";"";"100%.";"Дымка. ";"Дождь.";"Морось.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"4.0";"3.0";"0.3";"6";"";"";"";"";
"09.12.2016 11:00";"3.2";"739.2";"753.4";"0.5";"97";"Ветер, дующий с запада";"6";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"Дождь.";"Морось.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"100-200";"";"";"4.0";"2.7";"";"";"";"";"";"";
"09.12.2016 08:00";"3.1";"738.7";"752.9";"1.1";"97";"Ветер, дующий с запада";"5";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Дождь.";"Морось.";"-2.9";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"2.7";"2.6";"2.0";"12";"";"";"";"";
"09.12.2016 05:00";"2.9";"737.6";"751.8";"0.1";"95";"Ветер, дующий с запада";"6";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"100-200";"";"";"3.1";"2.1";"";"";"";"";"";"";
"09.12.2016 02:00";"1.9";"737.5";"751.7";"-1.0";"95";"Ветер, дующий с запада";"6";"";"";"100%.";"Дымка. ";"Ливень (ливни).";"Дождь со снегом или другими видами твердых осадков";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"100-200";"";"";"4.3";"1.1";"2.0";"6";"";"";"";"";
"08.12.2016 23:00";"0.4";"738.5";"752.9";"-2.6";"94";"Ветер, дующий с западо-юго-запада";"6";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Ливень (ливни).";"Дождь со снегом или другими видами твердых осадков";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"70 – 80%.";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"5.0";"-0.4";"";"";"";"";"";"";
"08.12.2016 20:00";"-2.9";"741.1";"755.7";"-3.5";"93";"Ветер, дующий с юго-запада";"7";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"-2.9";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"200-300";"";"";"5.0";"-3.9";"3.0";"12";"";"";"";"";
"08.12.2016 17:00";"-4.8";"744.6";"759.4";"-3.9";"93";"Ветер, дующий с юго-запада";"8";"";"";"100%.";"Снег непрерывный сильный в срок наблюдения. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"70 – 80%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"0.9";"-5.8";"";"";"";"";"";"";
"08.12.2016 14:00";"-5.2";"748.5";"763.3";"-3.9";"71";"Ветер, дующий с юго-юго-запада";"7";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-9.7";"";"";"";"";"";"";
"08.12.2016 11:00";"-7.7";"752.4";"767.5";"-2.6";"82";"Ветер, дующий с юго-запада";"6";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"-10.3";"";"";"";"";"";"";
"08.12.2016 08:00";"-10.2";"755.0";"770.3";"-2.1";"83";"Ветер, дующий с юго-запада";"5";"";"";"90  или более, но не 100%";" ";"";"";"-15.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-12.5";"";"";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"22.0";
"08.12.2016 05:00";"-11.2";"757.1";"772.5";"-1.7";"80";"Ветер, дующий с западо-юго-запада";"6";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-14.0";"";"";"";"";"";"";
"08.12.2016 02:00";"-12.4";"758.8";"774.4";"-1.2";"87";"Ветер, дующий с западо-юго-запада";"5";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-14.1";"";"";"";"";"";"";
"07.12.2016 23:00";"-14.9";"760.0";"775.7";"-0.6";"88";"Ветер, дующий с западо-юго-запада";"3";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-16.4";"";"";"";"";"";"";
"07.12.2016 20:00";"-14.4";"760.6";"776.2";"0.9";"86";"Ветер, дующий с западо-северо-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"-10.6";"";"";"";"";"";"10.0";"-16.2";"Следы осадков";"12";"";"";"";"";
"07.12.2016 17:00";"-12.7";"759.7";"775.3";"1.5";"79";"Ветер, дующий с запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-15.6";"";"";"";"";"";"";
"07.12.2016 14:00";"-10.9";"758.2";"773.6";"1.5";"73";"Ветер, дующий с северо-запада";"5";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"";"";"";"";"";"10.0";"-14.8";"Следы осадков";"6";"";"";"";"";
"07.12.2016 11:00";"-11.0";"756.7";"772.1";"1.8";"75";"Ветер, дующий с северо-запада";"5";"";"";"60%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-14.6";"";"";"";"";"";"";
"07.12.2016 08:00";"-13.2";"754.9";"770.4";"1.9";"83";"Ветер, дующий с запада";"3";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"Метель";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-13.2";"";"";"";"";"";"";"10.0";"-15.5";"0.2";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"23.0";
"07.12.2016 05:00";"-11.0";"753.0";"768.3";"2.2";"75";"Ветер, дующий с северо-северо-запада";"6";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"Метель";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"";"";"";"";"";"10.0";"-14.6";"";"";"";"";"";"";
"07.12.2016 02:00";"-9.0";"750.8";"766.0";"2.8";"71";"Ветер, дующий с северо-северо-запада";"5";"";"";"70 – 80%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Ливень (ливни).";"Метель";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-13.4";"0.2";"6";"";"";"";"";
"06.12.2016 23:00";"-4.6";"748.0";"762.8";"2.7";"77";"Ветер, дующий с северо-северо-запада";"8";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"-8.1";"";"";"";"";"";"";
"06.12.2016 20:00";"-2.6";"745.3";"760.0";"0.4";"93";"Ветер, дующий с западо-юго-запада";"4";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"-2.6";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"100-200";"";"";"5.0";"-3.6";"2.0";"12";"";"";"";"";
"06.12.2016 17:00";"-3.2";"744.9";"759.6";"0.5";"93";"Ветер, дующий с запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"70 – 80%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-4.2";"";"";"";"";"";"";
"06.12.2016 14:00";"-3.3";"744.4";"759.1";"-0.6";"90";"Ветер, дующий с западо-юго-запада";"4";"";"";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"200-300";"";"";"1.7";"-4.7";"0.9";"6";"";"";"";"";
"06.12.2016 11:00";"-3.2";"745.0";"759.7";"-0.3";"79";"Ветер, дующий с западо-юго-запада";"6";"";"";"100%.";"Ливневый снег или ливневый дождь и снег. ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"10.0";"-6.3";"";"";"";"";"";"";
"06.12.2016 08:00";"-3.7";"745.3";"760.0";"-1.0";"76";"Ветер, дующий с юго-запада";"8";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"-7.5";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"-7.3";"Следы осадков";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"23.0";
"06.12.2016 05:00";"-4.0";"746.3";"761.1";"-1.4";"78";"Ветер, дующий с юго-запада";"8";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Метель";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-7.3";"";"";"";"";"";"";
"06.12.2016 02:00";"-5.7";"747.7";"762.6";"-1.7";"77";"Ветер, дующий с юго-запада";"8";"";"";"90  или более, но не 100%";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-9.1";"";"";"";"";"";"";
"05.12.2016 23:00";"-6.8";"749.4";"764.4";"-1.8";"75";"Ветер, дующий с юго-запада";"9";"";"";"70 – 80%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-10.5";"";"";"";"";"";"";
"05.12.2016 20:00";"-7.5";"751.2";"766.3";"-2.9";"74";"Ветер, дующий с юго-юго-запада";"9";"";"";"70 – 80%.";" ";"";"";"";"-6.4";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-11.4";"Следы осадков";"12";"";"";"";"";
"05.12.2016 17:00";"-9.2";"754.1";"769.3";"-1.4";"86";"Ветер, дующий с юго-запада";"7";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-11.2";"";"";"";"";"";"";
